entity_type,entity_name,relation,template,missing_attribute
disease,lamellar ichthyosis,is caused by a mutation in the gene named,The disease lamellar ichthyosis is caused by a mutation in the gene named ,TGM1
disease,Bone mineral density QTL 15,is caused by a mutation in the gene named,The disease Bone mineral density QTL 15 is caused by a mutation in the gene named ,MIR2861
disease,spastic ataxia 8,is caused by a mutation in the gene named,The disease spastic ataxia 8 is caused by a mutation in the gene named ,NKX6-2
disease,autosomal recessive nonsyndromic deafness 42,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 42 is caused by a mutation in the gene named ,ILDR1
disease,autosomal dominant nonsyndromic deafness 67,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 67 is caused by a mutation in the gene named ,OSBPL2
disease,autosomal dominant nonsyndromic deafness 44,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 44 is caused by a mutation in the gene named ,CCDC50
disease,Congenital bilateral perisylvian syndrome,is caused by a mutation in the gene named,The disease Congenital bilateral perisylvian syndrome is caused by a mutation in the gene named ,PI4KA
disease,congenital disorder of glycosylation type IIe,is caused by a mutation in the gene named,The disease congenital disorder of glycosylation type IIe is caused by a mutation in the gene named ,COG7
disease,age related macular degeneration 6,is caused by a mutation in the gene named,The disease age related macular degeneration 6 is caused by a mutation in the gene named ,RAX2
disease,autosomal recessive nonsyndromic deafness 12,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 12 is caused by a mutation in the gene named ,CDH23
disease,common variable immunodeficiency,is caused by a mutation in the gene named,The disease common variable immunodeficiency is caused by a mutation in the gene named ,CR2
disease,congenital disorder of glycosylation type IIi,is caused by a mutation in the gene named,The disease congenital disorder of glycosylation type IIi is caused by a mutation in the gene named ,COG5
disease,muscular dystrophy-dystroglycanopathy,is caused by a mutation in the gene named,The disease muscular dystrophy-dystroglycanopathy is caused by a mutation in the gene named ,FKTN
disease,autosomal recessive congenital ichthyosis 6,is caused by a mutation in the gene named,The disease autosomal recessive congenital ichthyosis 6 is caused by a mutation in the gene named ,NIPAL4
disease,lysosomal acid phosphatase deficiency,is caused by a mutation in the gene named,The disease lysosomal acid phosphatase deficiency is caused by a mutation in the gene named ,ACP2
disease,autosomal recessive limb-girdle muscular dystrophy type 2U,is caused by a mutation in the gene named,The disease autosomal recessive limb-girdle muscular dystrophy type 2U is caused by a mutation in the gene named ,CRPPA
disease,autosomal dominant nonsyndromic deafness 3B,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 3B is caused by a mutation in the gene named ,GJB6
disease,centronuclear myopathy,is caused by a mutation in the gene named,The disease centronuclear myopathy is caused by a mutation in the gene named ,BIN1
disease,hidradenitis suppurativa,is caused by a mutation in the gene named,The disease hidradenitis suppurativa is caused by a mutation in the gene named ,NCSTN
disease,retinal arterial tortuosity,is caused by a mutation in the gene named,The disease retinal arterial tortuosity is caused by a mutation in the gene named ,COL4A1
disease,primary ciliary dyskinesia 14,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 14 is caused by a mutation in the gene named ,CCDC39
disease,ossification of the posterior longitudinal ligament,is caused by a mutation in the gene named,The disease ossification of the posterior longitudinal ligament is caused by a mutation in the gene named ,ENPP1
disease,parathyroid carcinoma,is caused by a mutation in the gene named,The disease parathyroid carcinoma is caused by a mutation in the gene named ,CDC73
disease,Boomerang dysplasia,is caused by a mutation in the gene named,The disease Boomerang dysplasia is caused by a mutation in the gene named ,FLNB
disease,Charcot-Marie-Tooth disease type 2A2,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease type 2A2 is caused by a mutation in the gene named ,MFN2
disease,hypogonadotropic hypogonadism 15 with or without anosmia,is caused by a mutation in the gene named,The disease hypogonadotropic hypogonadism 15 with or without anosmia is caused by a mutation in the gene named ,HS6ST1
disease,alopecia universalis,is caused by a mutation in the gene named,The disease alopecia universalis is caused by a mutation in the gene named ,HR
disease,Charcot-Marie-Tooth disease type 4J,is caused by a mutation in the gene named,The disease Charcot-Marie-Tooth disease type 4J is caused by a mutation in the gene named ,FIG4
disease,cone-rod dystrophy 14,is caused by a mutation in the gene named,The disease cone-rod dystrophy 14 is caused by a mutation in the gene named ,LOC118142757
disease,Joubert syndrome,is caused by a mutation in the gene named,The disease Joubert syndrome is caused by a mutation in the gene named ,CEP104
disease,NGLY1-deficiency,is caused by a mutation in the gene named,The disease NGLY1-deficiency is caused by a mutation in the gene named ,NGLY1
disease,du Pan syndrome,is caused by a mutation in the gene named,The disease du Pan syndrome is caused by a mutation in the gene named ,GDF5
disease,"ciliary dyskinesia, primary, 36, X-linked; CILD36",is caused by a mutation in the gene named,"The disease ciliary dyskinesia, primary, 36, X-linked; CILD36 is caused by a mutation in the gene named ",DNAAF6
disease,Fanconi anemia complementation group D2,is caused by a mutation in the gene named,The disease Fanconi anemia complementation group D2 is caused by a mutation in the gene named ,FANCD2
disease,Leber congenital amaurosis 3,is caused by a mutation in the gene named,The disease Leber congenital amaurosis 3 is caused by a mutation in the gene named ,SPATA7
disease,primary ciliary dyskinesia 22,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 22 is caused by a mutation in the gene named ,ZMYND10
disease,growth hormone deficiency,is caused by a mutation in the gene named,The disease growth hormone deficiency is caused by a mutation in the gene named ,GH1
disease,macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,is caused by a mutation in the gene named,The disease macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome is caused by a mutation in the gene named ,MTOR
disease,chromosome 2q32-q33 deletion syndrome,is caused by a mutation in the gene named,The disease chromosome 2q32-q33 deletion syndrome is caused by a mutation in the gene named ,SATB2
disease,Baraitser-Winter syndrome,is caused by a mutation in the gene named,The disease Baraitser-Winter syndrome is caused by a mutation in the gene named ,ACTB
disease,familial Mediterranean fever,is caused by a mutation in the gene named,The disease familial Mediterranean fever is caused by a mutation in the gene named ,MEFV
disease,"inflammatory skin and bowel disease, neonatal, 1",is caused by a mutation in the gene named,"The disease inflammatory skin and bowel disease, neonatal, 1 is caused by a mutation in the gene named ",ADAM17
disease,retinitis pigmentosa 48,is caused by a mutation in the gene named,The disease retinitis pigmentosa 48 is caused by a mutation in the gene named ,GUCA1B
disease,mosaic variegated aneuploidy syndrome 1,is caused by a mutation in the gene named,The disease mosaic variegated aneuploidy syndrome 1 is caused by a mutation in the gene named ,BUB1B
disease,Fanconi anemia complementation group C,is caused by a mutation in the gene named,The disease Fanconi anemia complementation group C is caused by a mutation in the gene named ,FANCC
disease,primary biliary cholangitis,is caused by a mutation in the gene named,The disease primary biliary cholangitis is caused by a mutation in the gene named ,STAT4
disease,Revesz syndrome,is caused by a mutation in the gene named,The disease Revesz syndrome is caused by a mutation in the gene named ,TINF2
disease,ciliopathy,is caused by a mutation in the gene named,The disease ciliopathy is caused by a mutation in the gene named ,DCDC2
disease,hereditary spherocytosis type 2,is caused by a mutation in the gene named,The disease hereditary spherocytosis type 2 is caused by a mutation in the gene named ,SPTB
disease,hereditary cryohydrocytosis with reduced stomatin,is caused by a mutation in the gene named,The disease hereditary cryohydrocytosis with reduced stomatin is caused by a mutation in the gene named ,SLC2A1
disease,syndromic X-linked intellectual disability 94,is caused by a mutation in the gene named,The disease syndromic X-linked intellectual disability 94 is caused by a mutation in the gene named ,GRIA3
disease,pseudopseudohypoparathyroidism,is caused by a mutation in the gene named,The disease pseudopseudohypoparathyroidism is caused by a mutation in the gene named ,GNAS
disease,Kenny-Caffey syndrome,is caused by a mutation in the gene named,The disease Kenny-Caffey syndrome is caused by a mutation in the gene named ,FAM111A
disease,congenital secretory chloride diarrhea 1,is caused by a mutation in the gene named,The disease congenital secretory chloride diarrhea 1 is caused by a mutation in the gene named ,SLC26A3
disease,complex cortical dysplasia with other brain malformations 4,is caused by a mutation in the gene named,The disease complex cortical dysplasia with other brain malformations 4 is caused by a mutation in the gene named ,TUBG1
disease,transient neonatal diabetes mellitus,is caused by a mutation in the gene named,The disease transient neonatal diabetes mellitus is caused by a mutation in the gene named ,KCNJ11
disease,short stature-optic atrophy-Pelger-HuC+t anomaly syndrome,is caused by a mutation in the gene named,The disease short stature-optic atrophy-Pelger-HuC+t anomaly syndrome is caused by a mutation in the gene named ,NBAS
disease,helicoid peripapillary chorioretinal degeneration,is caused by a mutation in the gene named,The disease helicoid peripapillary chorioretinal degeneration is caused by a mutation in the gene named ,TEAD1
disease,Infantile convulsions and choreoathetosis,is caused by a mutation in the gene named,The disease Infantile convulsions and choreoathetosis is caused by a mutation in the gene named ,PRRT2
disease,Van Maldergem syndrome,is caused by a mutation in the gene named,The disease Van Maldergem syndrome is caused by a mutation in the gene named ,DCHS1
disease,X-linked osteoporosis with fractures,is caused by a mutation in the gene named,The disease X-linked osteoporosis with fractures is caused by a mutation in the gene named ,PLS3
disease,diastrophic dysplasia,is caused by a mutation in the gene named,The disease diastrophic dysplasia is caused by a mutation in the gene named ,SLC26A2
disease,dentin dysplasia,is caused by a mutation in the gene named,The disease dentin dysplasia is caused by a mutation in the gene named ,DSPP
disease,hypogonadotropic hypogonadism 13 with or without anosmia,is caused by a mutation in the gene named,The disease hypogonadotropic hypogonadism 13 with or without anosmia is caused by a mutation in the gene named ,KISS1
disease,primary ciliary dyskinesia 20,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 20 is caused by a mutation in the gene named ,ODAD1
disease,nemaline myopathy 4,is caused by a mutation in the gene named,The disease nemaline myopathy 4 is caused by a mutation in the gene named ,TPM2
disease,hemochromatosis type 2A,is caused by a mutation in the gene named,The disease hemochromatosis type 2A is caused by a mutation in the gene named ,HJV
disease,congenital myasthenic syndrome 20,is caused by a mutation in the gene named,The disease congenital myasthenic syndrome 20 is caused by a mutation in the gene named ,SLC5A7
disease,age related macular degeneration 2,is caused by a mutation in the gene named,The disease age related macular degeneration 2 is caused by a mutation in the gene named ,ABCA4
disease,congenital myasthenic syndrome 5,is caused by a mutation in the gene named,The disease congenital myasthenic syndrome 5 is caused by a mutation in the gene named ,COLQ
disease,dilated cardiomyopathy,is caused by a mutation in the gene named,The disease dilated cardiomyopathy is caused by a mutation in the gene named ,TTN
disease,Prader–Willi syndrome,is caused by a mutation in the gene named,The disease Prader–Willi syndrome is caused by a mutation in the gene named ,NDN
disease,"Niemann–Pick disease, type C",is caused by a mutation in the gene named,"The disease Niemann–Pick disease, type C is caused by a mutation in the gene named ",NPC1
disease,autosomal dominant nonsyndromic deafness 66,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 66 is caused by a mutation in the gene named ,CD164
disease,Huntington's disease,is caused by a mutation in the gene named,The disease Huntington's disease is caused by a mutation in the gene named ,HTT
disease,Barth syndrome,is caused by a mutation in the gene named,The disease Barth syndrome is caused by a mutation in the gene named ,TAFAZZIN
disease,Cowden syndrome 5,is caused by a mutation in the gene named,The disease Cowden syndrome 5 is caused by a mutation in the gene named ,PIK3CA
disease,eosinophilic esophagitis,is caused by a mutation in the gene named,The disease eosinophilic esophagitis is caused by a mutation in the gene named ,DSG1
disease,X-linked deafness 4,is caused by a mutation in the gene named,The disease X-linked deafness 4 is caused by a mutation in the gene named ,SMPX
disease,autosomal recessive spinocerebellar ataxia 10,is caused by a mutation in the gene named,The disease autosomal recessive spinocerebellar ataxia 10 is caused by a mutation in the gene named ,ANO10
disease,Microspherophakia,is caused by a mutation in the gene named,The disease Microspherophakia is caused by a mutation in the gene named ,LTBP2
disease,hereditary hyperferritinemia with congenital cataracts,is caused by a mutation in the gene named,The disease hereditary hyperferritinemia with congenital cataracts is caused by a mutation in the gene named ,FTL
disease,short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome,is caused by a mutation in the gene named,The disease short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome is caused by a mutation in the gene named ,POC1A
disease,lethal congenital contracture syndrome 8,is caused by a mutation in the gene named,The disease lethal congenital contracture syndrome 8 is caused by a mutation in the gene named ,ADCY6
disease,intellectual disability-strabismus syndrome,is caused by a mutation in the gene named,The disease intellectual disability-strabismus syndrome is caused by a mutation in the gene named ,ADAT3
disease,Marshall syndrome,is caused by a mutation in the gene named,The disease Marshall syndrome is caused by a mutation in the gene named ,COL11A1
disease,myofibrillar myopathy 6,is caused by a mutation in the gene named,The disease myofibrillar myopathy 6 is caused by a mutation in the gene named ,BAG3
disease,Limb–mammary syndrome,is caused by a mutation in the gene named,The disease Limb–mammary syndrome is caused by a mutation in the gene named ,TP63
disease,FTDALS2,is caused by a mutation in the gene named,The disease FTDALS2 is caused by a mutation in the gene named ,CHCHD10
disease,hypomyelinating leukodystrophy 12,is caused by a mutation in the gene named,The disease hypomyelinating leukodystrophy 12 is caused by a mutation in the gene named ,VPS11
disease,Alazami-Yuan syndrome,is caused by a mutation in the gene named,The disease Alazami-Yuan syndrome is caused by a mutation in the gene named ,TAF6
disease,woolly hair-palmoplantar keratoderma syndrome,is caused by a mutation in the gene named,The disease woolly hair-palmoplantar keratoderma syndrome is caused by a mutation in the gene named ,KANK2
disease,congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,is caused by a mutation in the gene named,The disease congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome is caused by a mutation in the gene named ,ASNS
disease,Blau syndrome,is caused by a mutation in the gene named,The disease Blau syndrome is caused by a mutation in the gene named ,NOD2
disease,platelet-type bleeding disorder 15,is caused by a mutation in the gene named,The disease platelet-type bleeding disorder 15 is caused by a mutation in the gene named ,ACTN1
disease,"blepharophimosis-intellectual disability syndrome, Ohdo type",is caused by a mutation in the gene named,"The disease blepharophimosis-intellectual disability syndrome, Ohdo type is caused by a mutation in the gene named ",MED12
disease,focal segmental glomerulosclerosis 2,is caused by a mutation in the gene named,The disease focal segmental glomerulosclerosis 2 is caused by a mutation in the gene named ,TRPC6
disease,early infantile epileptic encephalopathy 4,is caused by a mutation in the gene named,The disease early infantile epileptic encephalopathy 4 is caused by a mutation in the gene named ,STXBP1
disease,Oxoglutaricaciduria,is caused by a mutation in the gene named,The disease Oxoglutaricaciduria is caused by a mutation in the gene named ,OGDH
disease,severe combined immunodeficiency due to CARD11 deficiency,is caused by a mutation in the gene named,The disease severe combined immunodeficiency due to CARD11 deficiency is caused by a mutation in the gene named ,CARD11
disease,mitochondrial DNA depletion syndrome 12,is caused by a mutation in the gene named,The disease mitochondrial DNA depletion syndrome 12 is caused by a mutation in the gene named ,SLC25A4
disease,spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome,is caused by a mutation in the gene named,The disease spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome is caused by a mutation in the gene named ,SLC1A4
disease,renal hypomagnesemia 4,is caused by a mutation in the gene named,The disease renal hypomagnesemia 4 is caused by a mutation in the gene named ,EGF
disease,immunodeficiency 37,is caused by a mutation in the gene named,The disease immunodeficiency 37 is caused by a mutation in the gene named ,BCL10
disease,"epileptic encephalopathy, early infantile 42",is caused by a mutation in the gene named,"The disease epileptic encephalopathy, early infantile 42 is caused by a mutation in the gene named ",CACNA1A
disease,ITPA-related encephalopathy,is caused by a mutation in the gene named,The disease ITPA-related encephalopathy is caused by a mutation in the gene named ,ITPA
disease,"microcephaly, seizures, and developmental delay",is caused by a mutation in the gene named,"The disease microcephaly, seizures, and developmental delay is caused by a mutation in the gene named ",PNKP
disease,lethal congenital contracture syndrome 2,is caused by a mutation in the gene named,The disease lethal congenital contracture syndrome 2 is caused by a mutation in the gene named ,ERBB3
disease,atrial heart septal defect 6,is caused by a mutation in the gene named,The disease atrial heart septal defect 6 is caused by a mutation in the gene named ,TLL1
disease,anterior segment mesenchymal dysgenesis,is caused by a mutation in the gene named,The disease anterior segment mesenchymal dysgenesis is caused by a mutation in the gene named ,PITX3
disease,ethylmalonic encephalopathy,is caused by a mutation in the gene named,The disease ethylmalonic encephalopathy is caused by a mutation in the gene named ,ETHE1
disease,brachydactyly type A1D,is caused by a mutation in the gene named,The disease brachydactyly type A1D is caused by a mutation in the gene named ,BMPR1B
disease,ovarian dysgenesis 2,is caused by a mutation in the gene named,The disease ovarian dysgenesis 2 is caused by a mutation in the gene named ,BMP15
disease,spermatogenic failure 15; SPGF15,is caused by a mutation in the gene named,The disease spermatogenic failure 15; SPGF15 is caused by a mutation in the gene named ,SYCE1
disease,ventriculomegaly-cystic kidney disease,is caused by a mutation in the gene named,The disease ventriculomegaly-cystic kidney disease is caused by a mutation in the gene named ,CRB2
disease,congenital myasthenic syndrome 16,is caused by a mutation in the gene named,The disease congenital myasthenic syndrome 16 is caused by a mutation in the gene named ,SCN4A
disease,Howel–Evans syndrome,is caused by a mutation in the gene named,The disease Howel–Evans syndrome is caused by a mutation in the gene named ,RHBDF2
disease,SPOAN syndrome,is caused by a mutation in the gene named,The disease SPOAN syndrome is caused by a mutation in the gene named ,KLC2
disease,congenital bile acid synthesis defect 2,is caused by a mutation in the gene named,The disease congenital bile acid synthesis defect 2 is caused by a mutation in the gene named ,AKR1D1
disease,hypotrichosis–lymphedema–telangiectasia syndrome,is caused by a mutation in the gene named,The disease hypotrichosis–lymphedema–telangiectasia syndrome is caused by a mutation in the gene named ,SOX18
disease,May–Hegglin anomaly,is caused by a mutation in the gene named,The disease May–Hegglin anomaly is caused by a mutation in the gene named ,MYH9
disease,caspase-8 deficiency,is caused by a mutation in the gene named,The disease caspase-8 deficiency is caused by a mutation in the gene named ,CASP8
disease,lymphedema,is caused by a mutation in the gene named,The disease lymphedema is caused by a mutation in the gene named ,VEGFC
disease,autosomal recessive nonsyndromic deafness 86,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 86 is caused by a mutation in the gene named ,TBC1D24
disease,myoclonic dystonia 26,is caused by a mutation in the gene named,The disease myoclonic dystonia 26 is caused by a mutation in the gene named ,KCTD17
disease,hypogonadotropic hypogonadism 24 without anosmia,is caused by a mutation in the gene named,The disease hypogonadotropic hypogonadism 24 without anosmia is caused by a mutation in the gene named ,FSHB
disease,pontocerebellar hypoplasia type 1B,is caused by a mutation in the gene named,The disease pontocerebellar hypoplasia type 1B is caused by a mutation in the gene named ,EXOSC3
disease,VACTERL association,is caused by a mutation in the gene named,The disease VACTERL association is caused by a mutation in the gene named ,PTEN
disease,"intellectual disability, X-linked, syndromic 33",is caused by a mutation in the gene named,"The disease intellectual disability, X-linked, syndromic 33 is caused by a mutation in the gene named ",TAF1
disease,thrombocytopenia,is caused by a mutation in the gene named,The disease thrombocytopenia is caused by a mutation in the gene named ,CYCS
disease,Lenz–Majewski syndrome,is caused by a mutation in the gene named,The disease Lenz–Majewski syndrome is caused by a mutation in the gene named ,PTDSS1
disease,osteogenesis imperfecta type 10,is caused by a mutation in the gene named,The disease osteogenesis imperfecta type 10 is caused by a mutation in the gene named ,SERPINH1
disease,pontocerebellar hypoplasia type 9,is caused by a mutation in the gene named,The disease pontocerebellar hypoplasia type 9 is caused by a mutation in the gene named ,AMPD2
disease,Vohwinkel syndrome,is caused by a mutation in the gene named,The disease Vohwinkel syndrome is caused by a mutation in the gene named ,GJB2
disease,"ectodermal dysplasia 13, hair/tooth type",is caused by a mutation in the gene named,"The disease ectodermal dysplasia 13, hair/tooth type is caused by a mutation in the gene named ",KREMEN1
disease,glycogen storage disease due to muscle beta-enolase deficiency,is caused by a mutation in the gene named,The disease glycogen storage disease due to muscle beta-enolase deficiency is caused by a mutation in the gene named ,ENO3
disease,autosomal recessive spinocerebellar ataxia 20,is caused by a mutation in the gene named,The disease autosomal recessive spinocerebellar ataxia 20 is caused by a mutation in the gene named ,SNX14
disease,adult-onset basal ganglia disease,is caused by a mutation in the gene named,The disease adult-onset basal ganglia disease is caused by a mutation in the gene named ,FTL
disease,Beare-Stevenson cutis gyrata syndrome,is caused by a mutation in the gene named,The disease Beare-Stevenson cutis gyrata syndrome is caused by a mutation in the gene named ,FGFR2
disease,sudden infant death-dysgenesis of the testes syndrome,is caused by a mutation in the gene named,The disease sudden infant death-dysgenesis of the testes syndrome is caused by a mutation in the gene named ,TSPYL1
disease,Myhre syndrome,is caused by a mutation in the gene named,The disease Myhre syndrome is caused by a mutation in the gene named ,SMAD4
disease,brachydactyly type E2,is caused by a mutation in the gene named,The disease brachydactyly type E2 is caused by a mutation in the gene named ,PTHLH
disease,polymicrogyria with optic nerve hypoplasia,is caused by a mutation in the gene named,The disease polymicrogyria with optic nerve hypoplasia is caused by a mutation in the gene named ,TUBA8
disease,hereditary spastic paraplegia 54,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 54 is caused by a mutation in the gene named ,DDHD2
disease,premature Chromatid separation trait,is caused by a mutation in the gene named,The disease premature Chromatid separation trait is caused by a mutation in the gene named ,BUB1B
disease,glycogen storage disease IXd,is caused by a mutation in the gene named,The disease glycogen storage disease IXd is caused by a mutation in the gene named ,PHKA1
disease,Parkinson disease 17,is caused by a mutation in the gene named,The disease Parkinson disease 17 is caused by a mutation in the gene named ,VPS35
disease,long QT syndrome 13,is caused by a mutation in the gene named,The disease long QT syndrome 13 is caused by a mutation in the gene named ,KCNJ5
disease,Job's syndrome,is caused by a mutation in the gene named,The disease Job's syndrome is caused by a mutation in the gene named ,STAT3
disease,nephronophthisis 19,is caused by a mutation in the gene named,The disease nephronophthisis 19 is caused by a mutation in the gene named ,DCDC2
disease,protein Z deficiency,is caused by a mutation in the gene named,The disease protein Z deficiency is caused by a mutation in the gene named ,PROZ
disease,dilated cardiomyopathy 1DD,is caused by a mutation in the gene named,The disease dilated cardiomyopathy 1DD is caused by a mutation in the gene named ,RBM20
disease,autosomal recessive nonsyndromic deafness 91,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 91 is caused by a mutation in the gene named ,SERPINB6
disease,autosomal recessive nonsyndromic deafness 88,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 88 is caused by a mutation in the gene named ,ELMOD3
disease,immunodeficiency due to ficolin3 deficiency,is caused by a mutation in the gene named,The disease immunodeficiency due to ficolin3 deficiency is caused by a mutation in the gene named ,FCN3
disease,ovarian neoplasm,is caused by a mutation in the gene named,The disease ovarian neoplasm is caused by a mutation in the gene named ,BRCA1
disease,autosomal recessive nonsyndromic deafness 23,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 23 is caused by a mutation in the gene named ,PCDH15
disease,autosomal recessive nonsyndromic deafness 22,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 22 is caused by a mutation in the gene named ,OTOA
disease,autosomal dominant nonsyndromic deafness 12,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 12 is caused by a mutation in the gene named ,TECTA
disease,erythromelalgia,is caused by a mutation in the gene named,The disease erythromelalgia is caused by a mutation in the gene named ,SCN9A
disease,glycogen storage disease IXc,is caused by a mutation in the gene named,The disease glycogen storage disease IXc is caused by a mutation in the gene named ,PHKG2
disease,microhydranencephaly,is caused by a mutation in the gene named,The disease microhydranencephaly is caused by a mutation in the gene named ,NDE1
disease,protein C deficiency,is caused by a mutation in the gene named,The disease protein C deficiency is caused by a mutation in the gene named ,PROC
disease,3-methylglutaconic aciduria type 3,is caused by a mutation in the gene named,The disease 3-methylglutaconic aciduria type 3 is caused by a mutation in the gene named ,OPA3
disease,Lethal acantholytic epidermolysis bullosa,is caused by a mutation in the gene named,The disease Lethal acantholytic epidermolysis bullosa is caused by a mutation in the gene named ,DSP
disease,idiopathic CD4 lymphocytopenia,is caused by a mutation in the gene named,The disease idiopathic CD4 lymphocytopenia is caused by a mutation in the gene named ,UNC119
disease,hyperphosphatasia with mental retardation syndrome 6; HPMRS6,is caused by a mutation in the gene named,The disease hyperphosphatasia with mental retardation syndrome 6; HPMRS6 is caused by a mutation in the gene named ,PIGY
disease,autoimmune lymphoproliferative syndrome,is caused by a mutation in the gene named,The disease autoimmune lymphoproliferative syndrome is caused by a mutation in the gene named ,FASLG
disease,primary ciliary dyskinesia 34,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 34 is caused by a mutation in the gene named ,DNAJB13
disease,proximal myopathy with extrapyramidal signs,is caused by a mutation in the gene named,The disease proximal myopathy with extrapyramidal signs is caused by a mutation in the gene named ,MICU1
disease,leukoencephalopathy with mild cerebellar ataxia and white matter edema,is caused by a mutation in the gene named,The disease leukoencephalopathy with mild cerebellar ataxia and white matter edema is caused by a mutation in the gene named ,CLCN2
disease,"intellectual disability, X-linked 101",is caused by a mutation in the gene named,"The disease intellectual disability, X-linked 101 is caused by a mutation in the gene named ",MID2
disease,Tay-Sachs disease AB variant,is caused by a mutation in the gene named,The disease Tay-Sachs disease AB variant is caused by a mutation in the gene named ,GM2A
disease,torsion dystonia 6,is caused by a mutation in the gene named,The disease torsion dystonia 6 is caused by a mutation in the gene named ,THAP1
disease,DOCK8 deficiency,is caused by a mutation in the gene named,The disease DOCK8 deficiency is caused by a mutation in the gene named ,DOCK8
disease,"heterotaxy, visceral, 7, autosomal; HTX7",is caused by a mutation in the gene named,"The disease heterotaxy, visceral, 7, autosomal; HTX7 is caused by a mutation in the gene named ",MMP21
disease,cerebrotendinous xanthomatosis,is caused by a mutation in the gene named,The disease cerebrotendinous xanthomatosis is caused by a mutation in the gene named ,CYP27A1
disease,Danon disease,is caused by a mutation in the gene named,The disease Danon disease is caused by a mutation in the gene named ,LAMP2
disease,IVIC Syndrome,is caused by a mutation in the gene named,The disease IVIC Syndrome is caused by a mutation in the gene named ,SALL4
disease,autosomal dominant limb-girdle muscular dystrophy type 1B,is caused by a mutation in the gene named,The disease autosomal dominant limb-girdle muscular dystrophy type 1B is caused by a mutation in the gene named ,LMNA
disease,Bainbridge Ropers Syndrome,is caused by a mutation in the gene named,The disease Bainbridge Ropers Syndrome is caused by a mutation in the gene named ,ASXL3
disease,nephronophthisis 15,is caused by a mutation in the gene named,The disease nephronophthisis 15 is caused by a mutation in the gene named ,CEP164
disease,keratosis pilaris,is caused by a mutation in the gene named,The disease keratosis pilaris is caused by a mutation in the gene named ,LRP1
disease,episodic ataxia type 1,is caused by a mutation in the gene named,The disease episodic ataxia type 1 is caused by a mutation in the gene named ,KCNA1
disease,tyrosinemia type II,is caused by a mutation in the gene named,The disease tyrosinemia type II is caused by a mutation in the gene named ,TAT
disease,Hennekam syndrome,is caused by a mutation in the gene named,The disease Hennekam syndrome is caused by a mutation in the gene named ,FAT4
disease,autosomal dominant nonsyndromic deafness 73,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 73 is caused by a mutation in the gene named ,PTPRQ
disease,brain-lung-thyroid syndrome,is caused by a mutation in the gene named,The disease brain-lung-thyroid syndrome is caused by a mutation in the gene named ,NKX2-1
disease,Hajdu-Cheney syndrome,is caused by a mutation in the gene named,The disease Hajdu-Cheney syndrome is caused by a mutation in the gene named ,NOTCH2
disease,postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,is caused by a mutation in the gene named,The disease postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome is caused by a mutation in the gene named ,GLI2
disease,early infantile epileptic encephalopathy 18,is caused by a mutation in the gene named,The disease early infantile epileptic encephalopathy 18 is caused by a mutation in the gene named ,SZT2
disease,long QT syndrome,is caused by a mutation in the gene named,The disease long QT syndrome is caused by a mutation in the gene named ,KCNQ1
disease,"microcephaly 14, primary, autosomal recessive",is caused by a mutation in the gene named,"The disease microcephaly 14, primary, autosomal recessive is caused by a mutation in the gene named ",SASS6
disease,familial hemophagocytic lymphohistiocytosis 2,is caused by a mutation in the gene named,The disease familial hemophagocytic lymphohistiocytosis 2 is caused by a mutation in the gene named ,PRF1
disease,occipital pachygyria and polymicrogyria,is caused by a mutation in the gene named,The disease occipital pachygyria and polymicrogyria is caused by a mutation in the gene named ,LAMC3
